title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
最动听的声音,radio,shēng yīn,声音,动听,破裂,帮助,感谢,乌鸦,狐狸,奖励,情景,诚实,A,
,radio,dòng tīng,声音,动听,破裂,帮助,感谢,乌鸦,狐狸,奖励,情景,诚实,B,
,radio,pò liè,声音,动听,破裂,帮助,感谢,乌鸦,狐狸,奖励,情景,诚实,C,
,radio,bāng zhù,声音,动听,破裂,帮助,感谢,乌鸦,狐狸,奖励,情景,诚实,D,
,radio,gǎn xiè,声音,动听,破裂,帮助,感谢,乌鸦,狐狸,奖励,情景,诚实,E,
,radio,wū yā,声音,动听,破裂,帮助,感谢,乌鸦,狐狸,奖励,情景,诚实,F,
,radio,hú li,声音,动听,破裂,帮助,感谢,乌鸦,狐狸,奖励,情景,诚实,G,
,radio,jiǎng lì,声音,动听,破裂,帮助,感谢,乌鸦,狐狸,奖励,情景,诚实,H,
,radio,qíng jǐng,声音,动听,破裂,帮助,感谢,乌鸦,狐狸,奖励,情景,诚实,I,
,radio,chéng shí,声音,动听,破裂,帮助,感谢,乌鸦,狐狸,奖励,情景,诚实,J,
